origin,temp,dewp,humid,wind_dir,wind_speed,precip,pressure,visib,time_hour
JFK,39.02,26.06,59.37,260.0,12.65858,0.0,1012.6,10.0,01/01/2013 01:00
JFK,39.02,26.06,59.37,270.0,11.5078,0.0,1012.4,10.0,01/01/2013 02:00
JFK,39.92,26.96,59.5,260.0,14.96014,0.0,1012.7,10.0,01/01/2013 03:00
JFK,39.92,28.04,62.21,250.0,17.2617,0.0,1012.6,10.0,01/01/2013 04:00
JFK,39.02,26.96,61.63,260.0,14.96014,0.0,1012.1,10.0,01/01/2013 05:00
JFK,37.94,26.96,64.29,260.0,13.80936,0.0,1012.6,10.0,01/01/2013 06:00
JFK,39.02,28.04,64.43,260.0,13.80936,0.0,1012.5,10.0,01/01/2013 07:00
JFK,39.92,26.96,59.5,260.0,17.2617,0.0,1012.6,10.0,01/01/2013 08:00
JFK,39.92,26.96,59.5,260.0,16.11092,0.0,1013.0,10.0,01/01/2013 09:00
JFK,41.0,28.04,59.65,260.0,16.11092,0.0,1012.8,10.0,01/01/2013 10:00
JFK,41.0,26.96,57.06,270.0,14.96014,0.0,1011.7,10.0,01/01/2013 11:00
JFK,37.94,26.6,64.7,340.0,14.96014,0.0,,10.0,01/01/2013 13:00
JFK,39.02,24.08,54.68,310.0,11.5078,0.0,1011.2,10.0,01/01/2013 14:00
JFK,39.02,23.0,52.26,290.0,12.65858,0.0,1011.7,10.0,01/01/2013 15:00
JFK,37.94,17.96,44.0,320.0,17.2617,0.0,1012.1,10.0,01/01/2013 16:00
JFK,37.04,17.06,43.85,330.0,16.11092,0.0,1013.2,10.0,01/01/2013 17:00
JFK,35.06,14.0,41.51,310.0,14.96014,0.0,1014.2,10.0,01/01/2013 18:00
JFK,33.08,14.0,44.92,350.0,13.80936,0.0,1014.3,10.0,01/01/2013 19:00
JFK,32.0,14.0,46.92,330.0,16.11092,0.0,1015.1,10.0,01/01/2013 20:00
JFK,30.02,10.94,44.41,330.0,21.86482,0.0,1015.3,10.0,01/01/2013 21:00
JFK,28.94,10.94,46.41,320.0,16.11092,0.0,1016.4,10.0,01/01/2013 22:00
JFK,26.96,8.06,44.25,320.0,20.71404,0.0,1016.5,10.0,01/01/2013 23:00
JFK,26.06,8.06,45.93,320.0,18.41248,0.0,1016.1,10.0,02/01/2013 00:00
JFK,26.06,8.06,45.93,330.0,19.56326,0.0,1016.4,10.0,02/01/2013 01:00
JFK,24.98,8.06,48.03,310.0,18.41248,0.0,1016.8,10.0,02/01/2013 02:00
JFK,24.98,8.06,48.03,320.0,17.2617,0.0,1016.5,10.0,02/01/2013 03:00
JFK,24.08,8.06,49.87,330.0,17.2617,0.0,1016.9,10.0,02/01/2013 04:00
JFK,23.0,8.96,54.34,350.0,11.5078,0.0,1017.1,10.0,02/01/2013 05:00
JFK,23.0,8.96,54.34,340.0,9.20624,0.0,1017.2,10.0,02/01/2013 06:00
JFK,23.0,8.96,54.34,340.0,10.35702,0.0,1017.7,10.0,02/01/2013 07:00
JFK,24.98,8.06,48.03,320.0,12.65858,0.0,1018.4,10.0,02/01/2013 08:00
JFK,26.96,8.06,44.25,310.0,12.65858,0.0,1019.0,10.0,02/01/2013 09:00
JFK,28.94,8.96,42.48,300.0,13.80936,0.0,1018.6,10.0,02/01/2013 10:00
JFK,30.02,10.04,42.66,300.0,20.71404,0.0,1017.8,10.0,02/01/2013 11:00
JFK,30.92,10.04,41.13,310.0,14.96014,0.0,1016.6,10.0,02/01/2013 12:00
JFK,33.08,10.94,39.25,310.0,16.11092,0.0,1017.2,10.0,02/01/2013 13:00
JFK,35.06,10.94,36.26,300.0,13.80936,0.0,1017.5,10.0,02/01/2013 14:00
JFK,33.98,10.04,36.37,320.0,19.56326,0.0,1018.3,10.0,02/01/2013 15:00
JFK,32.0,10.94,40.99,310.0,16.11092,0.0,1018.8,10.0,02/01/2013 16:00
JFK,32.0,10.94,40.99,300.0,11.5078,0.0,1019.8,10.0,02/01/2013 17:00
JFK,30.92,12.02,44.92,310.0,13.80936,0.0,1020.6,10.0,02/01/2013 18:00
JFK,30.92,12.92,46.74,300.0,10.35702,0.0,1020.5,10.0,02/01/2013 19:00
JFK,30.92,12.92,46.74,300.0,8.05546,0.0,1020.8,10.0,02/01/2013 20:00
JFK,30.92,14.0,49.01,310.0,13.80936,0.0,1021.3,10.0,02/01/2013 21:00
JFK,30.02,14.0,50.84,300.0,12.65858,0.0,1021.7,10.0,02/01/2013 22:00
JFK,30.02,14.0,50.84,310.0,14.96014,0.0,1022.0,10.0,02/01/2013 23:00
JFK,28.94,15.08,55.69,320.0,16.11092,0.0,1021.9,10.0,03/01/2013 00:00
JFK,28.94,14.0,53.13,310.0,16.11092,0.0,1022.2,10.0,03/01/2013 01:00
