Mean TemperatureC,MeanDew PointC, Mean Humidity, Mean Sea Level PressurehPa, Mean VisibilityKm, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,WindDirDegrees,Precipitationmm, CloudCover
4.0,3.0,95.0,1008,9.0,6,,229,0.0,6.0
3.0,3.0,92.0,1003,9.0,8,47.0,143,0.0,5.0
3.0,1.0,85.0,999,10.0,19,,256,0.0,6.0
3.0,-3.0,63.0,1010,10.0,19,40.0,284,0.0,2.0
0.0,0.0,95.0,1008,5.0,6,,2,0.0,7.0
3.0,-1.0,82.0,1010,10.0,5,,64,0.0,4.0
0.0,-1.0,93.0,1014,7.0,2,,43,0.0,7.0
4.0,4.0,96.0,1005,8.0,8,,273,0.0,7.0
10.0,3.0,65.0,1008,10.0,23,48.0,274,0.0,4.0
8.0,5.0,83.0,1018,10.0,5,,100,0.0,5.0
10.0,7.0,90.0,1022,6.0,2,,344,0.0,3.0
10.0,6.0,84.0,1022,10.0,8,,345,0.0,1.0
9.0,4.0,75.0,1021,9.0,2,,128,0.0,4.0
6.0,2.0,81.0,1020,9.0,2,,35,0.0,4.0
8.0,5.0,83.0,1019,10.0,3,,16,0.0,6.0
9.0,7.0,89.0,1017,10.0,5,,63,0.0,6.0
9.0,5.0,78.0,1018,10.0,13,,267,0.0,4.0
3.0,4.0,98.0,1019,7.0,2,,357,0.0,6.0
7.0,6.0,97.0,1011,6.0,8,,99,0.0,4.0
7.0,7.0,100.0,1005,8.0,5,,320,0.0,5.0
8.0,6.0,89.0,1011,9.0,3,,65,0.0,5.0
8.0,5.0,85.0,1016,9.0,3,,33,0.0,5.0
10.0,9.0,96.0,1014,8.0,5,,29,0.0,7.0
10.0,8.0,90.0,1021,10.0,6,,357,0.0,5.0
9.0,7.0,89.0,1024,10.0,3,,358,0.0,6.0
9.0,6.0,83.0,1025,10.0,2,,180,0.0,2.0
8.0,6.0,84.0,1027,7.0,2,,5,0.0,6.0
10.0,4.0,74.0,1027,9.0,6,,1,0.0,3.0
8.0,6.0,83.0,1027,10.0,6,,140,0.0,7.0
11.0,7.0,80.0,1030,10.0,6,,38,0.0,5.0
9.0,7.0,87.0,1029,9.0,0,,34,0.0,3.0
9.0,7.0,95.0,1028,3.0,0,,0,0.0,3.0
9.0,7.0,93.0,1026,2.0,0,,155,0.0,5.0
10.0,6.0,76.0,1025,7.0,3,,72,0.0,4.0
6.0,2.0,71.0,1027,10.0,5,,239,0.0,1.0
7.0,3.0,79.0,1029,9.0,5,,352,0.0,2.0
8.0,4.0,79.0,1029,9.0,5,,352,0.0,3.0
8.0,4.0,78.0,1029,10.0,2,,9,0.0,3.0
8.0,1.0,68.0,1031,10.0,2,,180,0.0,6.0
