wind_speed,visibility,precip,pressure,takeoff_risk,landing_risk,enroute_risk
12.65858,10.0,0.0,1012.6,LOW RISK,LOW RISK,ENROUTE SAFE 
11.5078,10.0,0.0,1012.4,LOW RISK,LOW RISK,ENROUTE SAFE 
14.96014,10.0,0.0,1012.7,LOW RISK,LOW RISK,ENROUTE SAFE 
17.2617,10.0,0.0,1012.6,LOW RISK,LOW RISK,ENROUTE SAFE 
14.96014,10.0,0.0,1012.1,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1012.6,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1012.5,LOW RISK,LOW RISK,ENROUTE SAFE 
17.2617,10.0,0.0,1012.6,LOW RISK,LOW RISK,ENROUTE SAFE 
16.11092,10.0,0.0,1013.0,LOW RISK,LOW RISK,ENROUTE SAFE 
16.11092,10.0,0.0,1012.8,LOW RISK,LOW RISK,ENROUTE SAFE 
14.96014,10.0,0.0,1011.7,LOW RISK,LOW RISK,ENROUTE SAFE 
11.5078,10.0,0.0,1011.2,LOW RISK,LOW RISK,ENROUTE SAFE 
12.65858,10.0,0.0,1011.7,LOW RISK,LOW RISK,ENROUTE SAFE 
17.2617,10.0,0.0,1012.1,LOW RISK,LOW RISK,ENROUTE SAFE 
16.11092,10.0,0.0,1013.2,LOW RISK,LOW RISK,ENROUTE SAFE 
14.96014,10.0,0.0,1014.2,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1014.3,LOW RISK,LOW RISK,ENROUTE SAFE 
16.11092,10.0,0.0,1015.1,LOW RISK,LOW RISK,ENROUTE SAFE 
21.86482,10.0,0.0,1015.3,MODERATE RISK,MODERATE RISK,ENROUTE SAFE 
16.11092,10.0,0.0,1016.4,LOW RISK,LOW RISK,ENROUTE SAFE 
20.71404,10.0,0.0,1016.5,MODERATE RISK,MODERATE RISK,ENROUTE SAFE 
18.41248,10.0,0.0,1016.1,LOW RISK,MODERATE RISK,ENROUTE SAFE 
19.56326,10.0,0.0,1016.4,LOW RISK,MODERATE RISK,ENROUTE SAFE 
18.41248,10.0,0.0,1016.8,LOW RISK,MODERATE RISK,ENROUTE SAFE 
17.2617,10.0,0.0,1016.5,LOW RISK,LOW RISK,ENROUTE SAFE 
17.2617,10.0,0.0,1016.9,LOW RISK,LOW RISK,ENROUTE SAFE 
11.5078,10.0,0.0,1017.1,LOW RISK,LOW RISK,ENROUTE SAFE 
9.20624,10.0,0.0,1017.2,LOW RISK,LOW RISK,ENROUTE SAFE 
10.35702,10.0,0.0,1017.7,LOW RISK,LOW RISK,ENROUTE SAFE 
12.65858,10.0,0.0,1018.4,LOW RISK,LOW RISK,ENROUTE SAFE 
12.65858,10.0,0.0,1019.0,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1018.6,LOW RISK,LOW RISK,ENROUTE SAFE 
20.71404,10.0,0.0,1017.8,MODERATE RISK,MODERATE RISK,ENROUTE SAFE 
14.96014,10.0,0.0,1016.6,LOW RISK,LOW RISK,ENROUTE SAFE 
16.11092,10.0,0.0,1017.2,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1017.5,LOW RISK,LOW RISK,ENROUTE SAFE 
19.56326,10.0,0.0,1018.3,LOW RISK,MODERATE RISK,ENROUTE SAFE 
16.11092,10.0,0.0,1018.8,LOW RISK,LOW RISK,ENROUTE SAFE 
11.5078,10.0,0.0,1019.8,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1020.6,LOW RISK,LOW RISK,ENROUTE SAFE 
10.35702,10.0,0.0,1020.5,LOW RISK,LOW RISK,ENROUTE SAFE 
8.05546,10.0,0.0,1020.8,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1021.3,LOW RISK,LOW RISK,ENROUTE SAFE 
12.65858,10.0,0.0,1021.7,LOW RISK,LOW RISK,ENROUTE SAFE 
14.96014,10.0,0.0,1022.0,LOW RISK,LOW RISK,ENROUTE SAFE 
16.11092,10.0,0.0,1021.9,LOW RISK,LOW RISK,ENROUTE SAFE 
16.11092,10.0,0.0,1022.2,LOW RISK,LOW RISK,ENROUTE SAFE 
12.65858,10.0,0.0,1022.5,LOW RISK,LOW RISK,ENROUTE SAFE 
9.20624,10.0,0.0,1022.3,LOW RISK,LOW RISK,ENROUTE SAFE 
12.65858,10.0,0.0,1022.0,LOW RISK,LOW RISK,ENROUTE SAFE 
9.20624,10.0,0.0,1022.2,LOW RISK,LOW RISK,ENROUTE SAFE 
12.65858,10.0,0.0,1022.5,LOW RISK,LOW RISK,ENROUTE SAFE 
6.90468,10.0,0.0,1022.5,LOW RISK,LOW RISK,ENROUTE SAFE 
10.35702,10.0,0.0,1022.5,LOW RISK,LOW RISK,ENROUTE SAFE 
10.35702,10.0,0.0,1022.9,LOW RISK,LOW RISK,ENROUTE SAFE 
8.05546,10.0,0.0,1022.2,LOW RISK,LOW RISK,ENROUTE SAFE 
10.35702,10.0,0.0,1021.3,LOW RISK,LOW RISK,ENROUTE SAFE 
12.65858,10.0,0.0,1020.2,LOW RISK,LOW RISK,ENROUTE SAFE 
11.5078,10.0,0.0,1019.5,LOW RISK,LOW RISK,ENROUTE SAFE 
5.7539,10.0,0.0,1018.9,LOW RISK,LOW RISK,ENROUTE SAFE 
8.05546,10.0,0.0,1018.9,LOW RISK,LOW RISK,ENROUTE SAFE 
10.35702,10.0,0.0,1019.1,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1019.6,LOW RISK,LOW RISK,ENROUTE SAFE 
14.96014,10.0,0.0,1019.9,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1019.9,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1019.8,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1019.5,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1019.4,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1018.8,LOW RISK,LOW RISK,ENROUTE SAFE 
16.11092,10.0,0.0,1018.2,LOW RISK,LOW RISK,ENROUTE SAFE 
14.96014,10.0,0.0,1018.4,LOW RISK,LOW RISK,ENROUTE SAFE 
11.5078,10.0,0.0,1018.6,LOW RISK,LOW RISK,ENROUTE SAFE 
10.35702,10.0,0.0,1018.4,LOW RISK,LOW RISK,ENROUTE SAFE 
12.65858,10.0,0.0,1018.5,LOW RISK,LOW RISK,ENROUTE SAFE 
13.80936,10.0,0.0,1018.7,LOW RISK,LOW RISK,ENROUTE SAFE 
12.65858,10.0,0.0,1019.0,LOW RISK,LOW RISK,ENROUTE SAFE 
